Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
DAV,1,+80ans,PC,1559759.2869,221131920.06,127117,4181,220925374.72,10354062.32,224757805.20700002,200596280.07999998,1854460187.6100001,,,,,,,,
DAV,1,+80ans,PP,26791.277828,3213065.85,5920,159,3201778.51,105496.2,3281055.1100000003,2528265.6440000003,28183578.61,,,,,,,,
DAV,0,0-30ans,GP,1498971.3029097999,45707326.95,135993,12167,43851773.6,4721079.48,59851268.0274,1483834.44104,991981931.3254348,,,,,,,,
DAV,0,0-30ans,PC,4934787.0196,111135587.25999999,27810,3215,110396410.88,26690961.93,115376374.88,1339796.5010000002,2205050600.0,,,,,,,,
DAV,0,0-30ans,PP,109820.619866,2932757.38,8609,745,2719234.24,615654.96,4344006.593,50208.4356,60291055.72,,,,,,,,
DAV,0,30-40ans,GP,1826686.1921299999,38072715.3,121067,6910,35793978.84,5201578.52,57788868.848000005,4657194.3132,918813670.4714495,,,,,,,,
DAV,0,30-40ans,PC,4005913.4316,65754822.16,18212,2713,64729883.75,20915556.54,71133904.72,4030596.693,1329315037.0,,,,,,,,
DAV,0,30-40ans,PP,278461.66224,4825399.470000001,6747,610,4478254.29,935271.77,7284918.173,425115.5163,120051747.10000001,,,,,,,,
DAV,1,40-50ans,GP,2769098.58975,47991733.3,174687,8488,44734551.59,6759951.97,75504951.357,12251784.566,1278562350.0144,,,,,,,,
DAV,1,40-50ans,PC,8765559.816,127140612.69999999,43440,5909,125309306.8,44361835.88,138605498.10000002,21084097.8,2770707606.0,,,,,,,,
DAV,1,40-50ans,PP,752645.0867,11388169.78,19243,1618,10431354.89,2508519.48,18076780.45,2648626.115,308568343.9,,,,,,,,
DAV,0,50-60ans,GP,4031103.6877490003,78742305.50999999,229821,11126,73582471.74,10102979.08,121617906.674,39576004.591,2080065887.2189999,,,,,,,,
DAV,0,50-60ans,PC,20905012.420733,324147591.40000004,98050,12372,321007945.85,102215767.5,345217843.704,125228028.1481,6999643547.059999,,,,,,,,
DAV,0,50-60ans,PP,1401117.0088999998,26528554.86,33996,3054,25266328.549999997,4732009.83,35555214.11,11380812.515999999,623464569.1,,,,,,,,
DAV,0,60-70ans,GP,4027157.41787,119353201.37,270459,11359,115038945.7,12796663.09,157761663.857,79985971.238,2396737672.17,,,,,,,,
DAV,0,60-70ans,PC,28790306.163112,582412903.41,152041,14439,580119900.81,158343433.84,597697412.8968999,346128136.4984,10735535314.66,,,,,,,,
DAV,0,60-70ans,PP,1998027.20807,56325439.35,65164,5466,55452814.03,8789138.95,62509003.800000004,32295568.504,1024663084.8,,,,,,,,
DAV,1,70-75ans,GP,1099663.6487219,44856179.9,137683,4324,43271942.16,4235554.31,58202192.6364,37372573.8993,752946848.456,,,,,,,,
DAV,1,70-75ans,PC,7623892.281579999,210012635.45,90106,5214,209539101.85999998,52265612.300000004,215737285.951,156946991.021,3308924150.77,,,,,,,,
DAV,1,70-75ans,PP,505908.85771,20561369.06,29640,1927,20331536.87,2574375.46,22157779.701,14454622.22,318555228.32,,,,,,,,
DAV,1,75-80ans,GP,397947.292465,26681513.8,94785,2918,25928333.1,1658942.12,29804937.2571,22184742.8853,348499124.684,,,,,,,,
DAV,1,75-80ans,PC,2449495.08589145,106271949.80000001,57532,2609,106045137.97,24327628.85,102446864.0662,81979582.7666,1309931925.007,,,,,,,,
DAV,1,75-80ans,PP,67889.453206,4031413.4899999998,7349,343,3986260.29,440224.71,4279169.132999999,2996950.4590000003,50209217.0,,,,,,,,
DAV,1,+80ans,Ex PC,6963.166794,1150209.19,2026,49,1140934.12,2668.0,1202149.26,734734.137,8299827.91,,,,,,,,
DAV,0,0-30ans,Ex PC,12400.27674,245292.42,1140,59,222748.42,42120.28,410438.779,5840.79405,4292970.37,,,,,,,,
DAV,0,30-40ans,Ex PC,10461.69568,590862.49,997,44,575024.0,45974.23,698080.979,16450.6107,6055586.63,,,,,,,,
DAV,1,40-50ans,Ex PC,11403.15,389805.71,1059,34,370849.65,49872.64,528611.019,36849.1153,5526571.5,,,,,,,,
DAV,0,50-60ans,Ex PC,21268.56961,727303.28,1573,54,686100.79,43298.0,1022407.28,147255.818,11119196.6,,,,,,,,
DAV,0,60-70ans,Ex PC,35266.1921,751313.68,2130,67,724553.0,228030.15,949029.398,296921.176,11147797.9,,,,,,,,
DAV,0,60-70ans,NC,1634904.1705800002,0.0,4,0,0.0,0.0,24220590.93,4504761.84,0.0,,,,,,,,
DAV,1,70-75ans,Ex PC,2390.221853,154261.23,1076,20,147601.63,6440.0,198771.676,73010.6091,1800692.5,,,,,,,,
DAV,1,75-80ans,Ex PC,6590.75558,598547.57,760,17,593562.73,10000.0,629344.875,370298.987,6630290.89,,,,,,,,
DAV,0,0-30ans,NC,602473.1406,0.0,0,0,0.0,0.0,8708123.89,2087349.1,0.0,,,,,,,,
DAV,0,30-40ans,NC,875782.7734999999,0.0,0,0,0.0,0.0,13914721.059999999,3558859.84,0.0,,,,,,,,
DAV,1,40-50ans,NC,983333.7439,0.0,0,0,0.0,0.0,14877838.59,3720540.9,0.0,,,,,,,,
DAV,0,50-60ans,NC,813104.3739,0.0,0,0,0.0,0.0,12022635.77,3002625.2199999997,0.0,,,,,,,,
DAV,1,70-75ans,NC,13174.83996,0.0,0,0,0.0,0.0,164606.346,20804.94,0.0,,,,,,,,
DAV,1,75-80ans,NC,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA,1,+80ans,GP,103041.27584599999,13337683.95,53846,905,13131628.88,517645.55,14585962.034000002,10990727.003999999,98481928.76,,,,,,,,
MMA,1,+80ans,PC,527767.8056,94392867.06,50068,1487,94275733.09,8144390.18,97390006.907,78128488.78,665915712.61,,,,,,,,
MMA,1,+80ans,PP,5494.495066,983894.24,963,26,980221.6,31120.0,1010300.03,592488.468,5631955.08,,,,,,,,
MMA,0,0-30ans,GP,269887.0269098,7833200.22,40219,2294,7492528.0,1435706.06,11195359.4274,618017.93404,159600258.32543477,,,,,,,,
MMA,0,0-30ans,PC,3786728.4505000003,93159567.78999999,19398,2315,92521361.96,23998355.009999998,96635923.10999998,789553.332,1777021011.0,,,,,,,,
MMA,0,0-30ans,PP,8177.500766,399456.86,815,95,354884.42,124091.84,571468.103,2799.2843,5442188.32,,,,,,,,
MMA,0,30-40ans,GP,518490.90333,7953490.109999999,33571,1440,7561225.630000001,2107046.38,15018554.148,2123095.6051999996,192413387.47144952,,,,,,,,
MMA,0,30-40ans,PC,2206152.1862,39427831.1,13306,1985,38509301.8,16219458.84,44015130.22,1843735.862,720261435.0,,,,,,,,
MMA,0,30-40ans,PP,33539.61454,554779.52,287,64,504740.71,167815.15,864412.603,45406.6363,15121352.0,,,,,,,,
MMA,1,40-50ans,GP,968547.2483499999,13148774.700000001,60040,2511,12378013.67,2842743.4,23522560.057,4601414.416,354363382.0144,,,,,,,,
MMA,1,40-50ans,PC,4894195.039,79146486.6,32459,4378,77683395.1,33723802.1,87877134.4,11010072.24,1575479293.0,,,,,,,,
MMA,1,40-50ans,PP,110202.8625,1655285.92,1089,220,1550428.64,733489.21,2255295.02,319900.755,41937358.9,,,,,,,,
MMA,0,50-60ans,GP,1289665.560749,24262621.61,88113,3626,22712349.09,4263524.75,36558516.674,11723584.621,590415322.219,,,,,,,,
